ticket_id,customer_id,created_at,status,issue_description,priority
675,310,2024-07-27 19:28:31,closed,Another according difficult law activity speak sell.,low
676,148,2025-03-20 06:55:57,closed,Edge analysis suggest sell.,medium
677,604,2025-03-09 09:17:36,open,Approach hour run by before serve.,medium
678,247,2025-06-22 03:45:19,open,Eat difficult today already above appear.,high
679,424,2025-06-17 05:23:09,closed,Choice develop same fight one.,high
680,681,2025-01-29 14:10:57,in_progress,Drop radio next suddenly.,high
681,389,2025-07-05 22:07:15,closed,Customer production benefit.,low
682,308,2025-04-09 22:24:12,in_progress,Debate sit all get clearly exactly stand public.,low
683,810,2024-07-21 22:00:39,open,Past as treat occur ready experience.,high
684,30,2025-02-12 19:32:14,in_progress,Than instead weight yes high.,low
685,968,2025-04-10 05:44:36,in_progress,Care role quality sister explain.,high
686,638,2025-04-15 02:30:44,closed,Yourself it position tax go.,high
687,543,2024-12-03 01:04:52,in_progress,Talk speech either more Democrat.,low
688,973,2024-09-15 05:17:47,open,Lawyer popular eat guy here challenge.,medium
689,533,2025-01-16 18:08:52,in_progress,Room quite establish line buy buy.,low
690,413,2024-08-08 21:42:36,open,Smile citizen hear wrong kind drop sound.,medium
691,569,2024-08-28 05:55:07,closed,Girl perhaps if out letter education nothing we.,high
692,822,2024-07-14 04:39:25,closed,Science forget point actually TV goal often.,medium
693,231,2025-06-12 20:45:27,in_progress,Half region especially military buy unit door.,high
694,851,2024-12-11 08:09:17,in_progress,Image design there recent.,medium
695,510,2024-09-15 08:17:00,open,Include whose message final.,low
696,400,2024-10-17 19:28:34,open,Surface news significant natural white.,low
697,897,2024-07-23 19:23:55,in_progress,Share minute people personal appear appear must green.,medium
698,856,2025-05-22 12:19:27,open,Foreign stand nice sense.,medium
699,163,2025-04-22 19:48:48,open,Southern painting can foreign knowledge work.,low
700,126,2024-08-15 01:38:44,closed,They those field.,low
701,81,2025-02-17 23:22:48,open,Field condition share.,medium
702,564,2024-12-29 07:06:13,in_progress,No always soon night land support only.,medium
703,626,2025-04-14 21:09:42,in_progress,Movie modern wait leg bit sort thousand.,high
704,703,2025-02-23 20:42:20,open,Red car although anyone least.,medium
705,208,2025-02-15 21:10:31,open,Truth really ask above say.,medium
706,358,2025-04-16 12:59:42,closed,Economic here partner never song.,high
707,914,2025-02-23 04:36:26,in_progress,Go former cause whose war live.,medium
708,640,2025-04-29 23:48:36,in_progress,Tell national message cup accept church suddenly.,low
709,106,2024-09-10 23:18:18,in_progress,Word television respond term news worry.,low
710,674,2025-03-16 10:17:50,open,Industry sort dinner of threat.,high
711,206,2025-07-06 14:12:20,closed,Daughter contain difficult middle size quality.,medium
712,775,2024-09-16 09:52:34,in_progress,Attorney major sing their song media.,low
713,308,2024-11-23 18:18:45,open,Power could short spend operation the.,high
714,444,2024-10-15 16:21:50,closed,Land argue though have.,medium
715,834,2024-10-13 12:27:20,open,Defense perform because full force.,high
716,897,2024-10-27 21:20:55,open,Hear training member stage.,low
717,144,2024-09-11 15:41:28,closed,Form wrong turn.,medium
718,830,2024-08-25 02:46:17,open,Land rock institution tonight.,medium
719,580,2025-02-18 20:46:49,open,Animal now seek level civil interest.,medium
720,11,2024-11-13 20:31:19,open,Small leg federal wait ok walk.,high
721,423,2024-08-09 04:46:57,open,Try board bag throughout together thank model.,high
722,876,2025-04-06 02:43:36,closed,Speech us difference gun sign.,low
723,467,2024-09-01 16:37:43,open,Write parent test.,medium
724,181,2024-09-22 17:56:40,closed,Person factor north.,low
725,284,2025-04-25 19:24:50,open,Great professor half.,medium
726,813,2024-12-21 22:01:41,in_progress,Number always threat carry million within government.,high
727,142,2025-02-01 14:26:32,closed,Far play security watch dinner firm.,medium
728,585,2025-05-26 07:00:22,in_progress,Lot today side she visit education.,medium
729,905,2025-02-01 00:53:21,in_progress,Total develop walk spend pull page view standard.,high
730,515,2025-05-20 21:54:04,in_progress,Garden ability half mother share rule field.,low
731,994,2025-02-09 03:35:34,closed,Similar debate to require another.,high
732,672,2025-06-08 06:31:25,closed,Key here support social.,medium
733,819,2025-03-06 10:19:49,in_progress,Site commercial wall morning pressure.,low
734,987,2025-01-31 04:56:33,open,Several without human morning step.,high
735,562,2025-05-16 07:43:38,closed,Offer help dinner fight law modern.,medium
736,117,2025-03-23 20:52:47,in_progress,Argue decide out stage trade entire manage.,medium
737,239,2025-07-08 10:09:16,open,Sense involve art wall catch hear.,high
738,743,2025-06-23 00:01:13,closed,Pm parent consider plan difficult.,high
739,54,2024-09-23 20:52:32,open,Tv let south store both expert open.,medium
740,284,2025-07-09 01:21:12,in_progress,Expect of week student language finally.,low
741,553,2025-05-15 01:14:27,in_progress,Trade remain American author American.,low
742,497,2025-06-12 07:41:25,in_progress,First catch owner third.,high
743,816,2025-05-22 16:40:43,open,Step daughter white about west.,low
744,960,2025-07-06 14:16:14,in_progress,Alone perhaps capital last.,low
745,530,2024-09-19 02:15:56,open,If particular despite for could.,low
746,589,2025-06-12 04:11:18,in_progress,She animal order Mr fill personal degree.,high
747,308,2024-11-28 07:55:09,open,Recognize school Mr current game community season here.,low
748,544,2025-03-22 20:09:08,in_progress,Significant plant choose who evening hair southern.,medium
749,568,2024-08-16 03:42:11,closed,Already walk meet cell shoulder group green night.,low
750,280,2024-10-19 19:38:59,in_progress,Deal of throughout popular difficult choice next.,high
751,753,2025-04-08 02:23:46,closed,Threat character certainly young specific sign from.,high
752,338,2025-06-17 00:41:46,in_progress,Visit attention suggest respond mother.,low
753,680,2024-07-11 13:36:41,open,Yourself to everything benefit she family campaign.,low
754,967,2025-02-27 23:27:52,in_progress,View draw beyond remain test research tree hair.,high
755,30,2025-04-28 23:56:40,closed,Either describe coach environment affect.,medium
756,750,2024-09-06 16:20:02,open,Culture manager certain anyone energy.,medium
757,503,2025-05-07 09:12:05,closed,Beyond miss easy walk.,low
758,241,2024-12-04 03:39:53,in_progress,Our fear speak.,high
759,785,2025-06-22 07:07:57,closed,Which drug such couple deal hit.,low
760,470,2024-09-03 06:38:53,in_progress,Old and magazine generation.,high
761,548,2025-06-08 16:06:10,open,Organization perform list section.,medium
762,628,2024-11-22 12:08:48,open,Moment type benefit involve position.,medium
763,412,2024-08-21 16:25:44,open,Yourself drive attorney magazine question push apply investment.,medium
764,339,2025-02-04 23:07:42,in_progress,Defense by skin.,low
765,456,2025-04-17 13:08:37,closed,Military method bank tax lose between score.,medium
766,804,2025-01-02 05:11:47,in_progress,Day expert trade data environment party good.,low
767,322,2024-08-31 13:47:49,in_progress,Citizen size game include hear.,high
768,464,2025-01-09 06:20:18,in_progress,Fill carry fast guy question us.,high
769,696,2024-08-01 04:36:27,open,Arrive quality reach miss.,low
770,709,2024-08-11 08:43:42,in_progress,Fill happen for whether.,low
771,691,2024-09-07 13:16:20,closed,High approach wind reason Mr.,high
772,214,2024-07-23 05:24:28,closed,Hospital whom authority by shoulder business meet.,high
773,20,2024-08-29 02:32:04,in_progress,Move center activity amount customer public address.,low
774,384,2025-02-18 01:38:56,in_progress,Suggest probably serious for visit.,low
775,425,2025-07-02 02:42:30,in_progress,Near hit need audience analysis necessary back.,high
776,377,2024-10-13 16:22:59,closed,Fine difficult last business out get from.,medium
777,751,2024-10-18 18:50:07,closed,Tv five sell.,high
778,757,2025-04-10 08:57:08,in_progress,Bill several next candidate everybody set certain.,medium
779,510,2025-01-08 18:21:59,in_progress,Record computer necessary letter organization.,medium
780,503,2024-07-20 09:09:45,in_progress,Pull professor high unit happy.,medium
781,299,2025-05-18 15:13:42,closed,Nation pretty behavior.,high
782,726,2025-01-18 14:08:03,closed,Production yourself picture.,low
783,163,2024-10-06 19:24:29,in_progress,City message beautiful others.,high
784,34,2024-12-09 21:26:21,closed,Administration subject most mother buy.,high
785,61,2025-07-03 12:21:21,in_progress,Hit first society try professor become.,high
786,272,2024-08-03 08:13:09,in_progress,Congress challenge major knowledge.,medium
787,671,2025-03-02 15:48:08,open,Traditional house argue measure event everything dog individual.,medium
788,240,2025-02-09 03:50:38,closed,Citizen movie wind foot.,low
789,602,2025-01-04 07:39:22,closed,North paper less each.,high
790,102,2024-08-31 22:46:05,closed,Treatment nice long boy later seven.,high
791,12,2024-12-27 17:08:07,closed,Assume time likely really executive position property.,medium
792,93,2025-01-13 15:50:35,in_progress,All Mr fund method particular.,low
793,13,2024-10-01 19:52:10,closed,List seem fall around with else tough religious.,medium
794,751,2024-10-22 11:03:02,in_progress,Type pattern national.,low
795,316,2025-03-13 16:58:39,closed,Even wish old shoulder left total.,high
796,806,2025-03-16 07:24:37,open,Prevent skill authority score.,low
797,848,2025-04-10 04:53:49,closed,Gas game knowledge election between yeah student.,high
798,505,2025-06-27 21:51:48,open,Than alone itself.,high
799,252,2025-07-07 04:22:45,open,Lot sort candidate blood wrong leader admit.,low
800,450,2024-08-24 06:32:09,closed,Whom thus seek benefit side.,low
801,492,2025-07-05 08:17:36,closed,Hot such knowledge technology place natural born.,high
802,799,2025-05-09 03:36:19,in_progress,Despite war matter act whom maintain.,high
803,478,2024-11-19 06:46:18,open,Market training process public program wife color.,high
804,928,2025-02-21 14:39:57,in_progress,Husband value light ahead.,low
805,152,2025-01-28 01:48:41,closed,Consumer decade everybody different.,medium
806,709,2025-01-29 10:08:26,in_progress,Firm film although officer whatever economy shake.,medium
807,103,2025-02-17 18:11:07,open,Though he system dog middle.,high
808,814,2024-10-01 21:16:35,in_progress,Write white cost vote detail.,high
809,876,2025-06-21 05:30:20,in_progress,Major despite bit hand then positive performance.,low
810,228,2024-12-27 11:22:44,closed,Last control film box police.,low
811,591,2024-08-14 10:30:50,in_progress,Time commercial none.,medium
812,617,2025-05-07 23:17:44,open,Against speech else than.,low
813,258,2025-04-29 15:44:36,closed,Agree it local middle.,low
814,750,2024-09-02 03:29:57,closed,Benefit south authority street past plan strong.,high
815,823,2025-06-03 20:33:21,in_progress,Conference hit camera with significant hotel.,medium
816,890,2025-04-06 15:06:33,closed,Try radio store mention claim.,medium
817,979,2024-08-25 15:09:15,in_progress,Democratic address better back miss help.,high
818,654,2024-10-07 04:28:24,open,Region answer bank itself.,low
819,60,2024-10-22 07:49:10,in_progress,Style take development charge speak dark pick.,low
820,526,2024-08-25 18:00:32,in_progress,What learn national whom identify.,high
821,606,2025-01-29 18:04:22,in_progress,Letter these order.,medium
822,229,2025-04-24 05:14:57,open,Summer research various suddenly project forget news.,medium
823,113,2024-12-30 23:11:49,closed,Above future hear result behavior.,high
824,464,2024-10-08 13:56:33,open,Meet together bad administration.,high
825,563,2025-06-11 14:04:31,closed,Different phone fine firm.,high
826,279,2025-05-19 14:18:47,open,Late author add weight history art else.,medium
827,893,2025-06-28 12:11:25,open,Later technology image who late instead.,medium
828,833,2025-03-06 10:40:32,closed,Show development win type direction style.,high
829,305,2025-04-12 12:56:20,in_progress,About region pretty entire lead project history fire.,high
830,928,2024-08-01 01:39:13,closed,Economic pick those campaign finish high.,high
831,448,2024-12-24 01:46:05,in_progress,Pay until instead star group performance these.,high
832,831,2024-09-06 00:21:35,open,Heavy wear save toward.,low
833,140,2025-03-30 00:08:04,closed,Writer TV production wish friend.,high
834,707,2025-06-26 06:35:21,in_progress,Budget human black.,high
835,794,2024-09-15 08:18:20,open,Happy wife rather hospital court.,low
836,907,2024-07-27 13:57:30,open,Know candidate trade then magazine safe.,medium
837,110,2025-04-22 13:47:01,open,Professional thought doctor use.,low
838,291,2025-02-03 22:13:34,closed,Rate full when drive.,low
839,848,2025-01-14 17:10:51,open,Yes reason somebody move information everything short.,medium
840,483,2024-08-26 10:12:32,open,Own whole which same seven word listen.,medium
841,589,2025-03-08 15:10:32,closed,Show with own also.,low
842,563,2024-08-31 20:42:41,closed,They wish speech accept.,low
843,776,2024-10-06 21:58:32,open,None money source investment.,high
844,74,2025-03-29 04:38:17,in_progress,Region if nearly eat.,medium
845,811,2025-01-06 14:27:55,in_progress,Something fill fund woman very weight.,high
846,894,2025-04-06 01:38:42,open,Mr authority down son.,high
847,192,2025-06-20 04:19:18,open,Paper money again service especially fill.,high
848,545,2024-10-15 17:20:42,closed,Congress brother card note billion cut.,medium
849,433,2024-12-26 21:48:20,closed,Early else TV so take hold full.,high
850,211,2024-10-06 05:53:45,in_progress,Message north individual within.,low
851,985,2025-04-29 09:38:43,in_progress,Environment bad staff management amount must.,low
852,554,2024-09-12 23:55:30,open,Study moment summer benefit.,low
853,817,2025-02-03 15:10:40,closed,Process cold democratic material phone treat.,low
854,355,2025-06-04 10:25:36,in_progress,Will keep or debate newspaper democratic hope lead.,low
855,957,2025-06-07 03:06:29,open,Letter never model control every they.,low
856,109,2025-04-06 12:04:40,in_progress,Against human today after center technology.,medium
857,550,2024-08-28 04:23:42,open,Soon current wish tree generation last ability program.,low
858,208,2024-12-27 02:38:40,in_progress,Statement may particular box.,high
859,75,2025-02-12 09:48:40,closed,Deal summer high big project staff.,high
860,109,2024-10-20 23:34:07,closed,Tell laugh quality behind mean east raise fish.,high
861,591,2024-08-01 08:23:29,in_progress,Car conference past prepare ask sometimes sport.,low
862,56,2025-03-09 05:02:18,open,Apply memory those back main key.,low
863,988,2025-04-13 16:33:38,closed,Partner again work development whole.,high
864,413,2025-05-12 02:14:54,in_progress,Situation who attorney these long off example.,high
865,830,2025-03-13 13:25:20,in_progress,Woman draw drug dark safe phone explain.,low
866,38,2025-02-13 06:14:52,in_progress,Tree model let plant.,low
867,32,2024-12-26 16:28:07,in_progress,Imagine argue visit Congress coach his yourself.,medium
868,663,2025-01-20 14:42:51,open,Audience fear feel join.,high
869,641,2024-12-20 05:33:33,in_progress,Tend page firm position.,medium
870,249,2025-01-17 20:49:06,in_progress,Father follow story real him.,medium
871,748,2024-08-15 22:42:11,open,Nation west worker know special.,high
872,651,2024-08-15 07:38:03,closed,On bad show vote study bad.,low
873,919,2024-12-08 14:02:13,open,Brother soon senior study key like rich.,high
874,556,2025-02-24 07:04:12,closed,Tough century can plan father.,medium
875,786,2024-11-20 05:49:32,closed,Too whether rock research take artist guy.,low
876,604,2025-01-30 19:54:58,open,Play together walk discover focus appear material.,low
877,150,2025-05-07 23:15:24,open,Town would charge hundred entire prove.,medium
878,246,2025-03-10 23:56:52,in_progress,Take sometimes class begin each town.,low
879,147,2025-02-09 22:50:50,closed,Rock age officer tough.,low
880,983,2024-12-18 19:25:08,closed,Current gun that old computer.,low
881,532,2024-12-16 03:10:19,in_progress,Factor almost less decide official director.,low
882,660,2024-09-30 08:43:27,closed,Yourself yeah ten at.,low
883,503,2025-05-06 07:21:11,closed,Close also item tree again answer themselves.,high
884,493,2024-10-31 05:38:28,in_progress,Century material hot beyond where Republican event.,high
885,456,2025-05-20 18:52:55,closed,When resource plant commercial international true.,high
886,850,2024-11-25 08:03:40,open,Up little dark not member dinner require big.,high
887,543,2024-07-13 17:19:21,in_progress,Fish fly stage.,low
888,868,2025-03-17 01:40:02,closed,Act us southern where child word.,high
889,643,2024-08-17 13:28:39,closed,News result through though spring both image.,high
890,569,2024-08-24 16:39:31,closed,Reality argue suggest center yes.,high
891,344,2024-09-27 10:33:49,closed,Tend agency particularly government.,high
892,80,2025-01-23 04:00:22,closed,From describe range.,high
893,509,2024-10-27 06:05:24,open,Tax also business order middle.,medium
894,487,2024-11-12 16:36:12,open,Fight successful inside single religious official agree.,low
895,487,2024-07-22 00:35:43,closed,Analysis relate above support.,high
896,369,2024-10-21 10:10:33,open,Result stop according sort rock.,low
897,354,2025-01-09 06:46:34,closed,Area on go ever.,high
898,915,2024-11-08 18:14:55,in_progress,As door director apply soldier.,high
899,239,2024-07-30 10:56:50,closed,Manage offer degree television avoid.,high
900,119,2024-11-07 00:38:24,in_progress,Common read both audience.,medium
901,555,2025-02-25 15:03:36,open,Court gas thus.,medium
902,640,2025-06-30 11:51:14,closed,Hear involve new however.,medium
903,340,2024-10-22 03:29:49,open,Sometimes think time understand happy wind.,low
904,63,2024-10-14 04:24:53,in_progress,Popular media try same drug agent.,medium
905,504,2024-09-18 11:04:17,in_progress,Its arrive ground bad forget.,high
906,693,2025-07-08 08:36:02,in_progress,Summer PM economic only work up product international.,low
907,690,2025-03-25 19:30:11,open,Prove last responsibility serve trial character.,medium
908,24,2025-01-06 01:10:52,closed,Kind hotel system center.,low
909,1000,2025-05-20 00:07:54,in_progress,Especially south girl serve brother this with.,high
910,863,2025-05-25 04:40:17,open,Instead suggest half organization at.,low
911,731,2025-03-08 07:16:05,closed,Wrong south themselves sea quite control.,high
912,291,2025-03-24 14:34:34,closed,Quickly player hold significant.,high
913,836,2024-08-17 18:09:44,in_progress,Consumer foot number see state top.,high
914,549,2024-12-20 13:36:58,closed,Within itself room section conference.,high
915,557,2025-03-19 13:25:47,closed,Would everybody phone.,low
916,902,2024-10-03 05:51:59,closed,Role especially our as religious thank ago.,low
917,413,2025-03-29 16:06:32,closed,Society staff better story once.,high
918,28,2024-08-01 13:11:58,closed,Inside cold particular customer work that might successful.,high
919,9,2025-05-28 18:58:52,in_progress,Practice girl read window activity.,high
920,204,2025-02-09 04:58:52,closed,Produce though degree.,medium
921,189,2025-04-06 17:09:13,open,Nearly blue general worker computer ever water.,high
922,688,2024-07-13 10:08:48,open,Clear capital after attention market should.,low
923,472,2025-03-21 07:51:20,in_progress,Last what recognize save walk.,low
924,116,2024-12-25 01:46:50,in_progress,Production must maintain student step down.,high
925,516,2024-10-05 17:44:32,open,Measure every natural tax administration myself agent talk.,low
926,637,2024-11-02 09:21:23,in_progress,Forward then watch have.,low
927,127,2025-05-30 02:54:01,closed,Together ground enough.,medium
928,852,2024-10-11 13:07:37,closed,Think camera such old husband ok.,low
929,101,2025-03-19 02:47:32,closed,Prepare last peace statement cell.,low
930,533,2024-12-02 09:14:17,open,Avoid million who gun yard process.,high
931,55,2024-12-19 09:40:14,open,Ability PM government understand.,high
932,569,2025-05-27 21:18:15,open,Cup study by perform level include.,low
933,781,2025-06-14 16:35:07,closed,Modern development medical police debate glass.,low
934,658,2024-08-25 04:36:01,open,Today certainly everyone finally affect check create.,high
935,209,2024-08-09 11:32:20,open,Tend too adult score.,low
936,672,2025-02-18 17:51:12,closed,Edge though national.,low
937,759,2025-06-09 15:55:05,in_progress,Institution growth knowledge generation mother building.,low
938,136,2025-02-16 07:04:24,in_progress,Set run cup production.,medium
939,911,2024-12-01 04:51:14,open,Option bank Mrs air.,high
940,367,2025-04-02 20:29:48,in_progress,Career training stock PM view fine thing situation.,high
941,68,2024-09-12 10:07:53,closed,Degree make myself.,medium
942,317,2024-08-06 09:36:09,closed,Individual young color store rock.,medium
943,760,2024-10-29 09:30:39,in_progress,Me fall tough certainly program surface newspaper investment.,low
944,930,2024-12-17 19:22:36,in_progress,Reveal dinner poor force quality again structure.,high
945,113,2025-04-28 10:12:31,closed,Thousand part goal argue president might nothing affect.,high
946,702,2024-11-11 08:32:03,in_progress,Program enjoy perhaps ok appear what trade.,high
947,400,2024-10-17 17:08:31,closed,Store civil ahead middle skin think second candidate.,medium
948,188,2025-06-01 04:17:57,closed,Information carry best election.,medium
949,656,2025-06-09 14:10:53,in_progress,Successful television provide I occur.,medium
950,167,2025-04-02 17:03:02,in_progress,Window make space enough conference speech will can.,medium
951,60,2024-11-30 17:15:12,in_progress,Available listen hair through happen choose.,medium
952,699,2024-12-08 04:20:05,in_progress,Positive western same growth vote issue return star.,high
953,206,2024-07-30 08:18:37,in_progress,Cell physical pressure suddenly talk travel probably.,low
954,578,2025-01-08 08:02:30,closed,Their own brother.,high
955,472,2025-03-03 17:53:44,in_progress,Company arrive pretty best since such vote.,high
956,383,2025-02-03 19:50:25,in_progress,Road action determine sound.,low
957,171,2025-02-20 11:57:00,closed,Case believe to hard yet.,low
958,77,2024-12-24 19:51:14,in_progress,Chair discussion discover stop see responsibility take.,low
959,285,2024-08-01 23:14:57,in_progress,Game dream fall organization someone large with.,medium
960,697,2025-07-07 10:36:15,open,Clear benefit perhaps cell against finish.,low
961,720,2024-07-19 01:59:39,in_progress,Find how lawyer decade bank just challenge.,low
962,961,2025-06-16 03:50:04,in_progress,Maybe social now rest finally war.,low
963,119,2025-03-28 08:11:06,closed,Book black address increase final hair type.,low
964,795,2024-09-08 21:00:37,closed,Maintain less say idea community TV.,medium
965,237,2025-02-16 12:56:40,open,At example happy hot its current.,medium
966,223,2024-11-19 13:29:37,in_progress,Three offer level reflect receive still.,medium
967,904,2025-05-07 20:30:08,open,Public skill near experience.,low
968,946,2025-01-02 11:57:53,open,Pattern plant theory information notice notice big.,low
969,105,2025-07-06 13:28:57,in_progress,Ok modern career gun.,medium
970,496,2025-04-14 18:42:33,in_progress,Onto what later will.,high
971,912,2025-02-22 11:24:51,in_progress,Task general customer when dog bag time.,low
972,482,2025-04-30 12:37:59,in_progress,Every have us movement history few necessary.,low
973,350,2025-01-15 02:48:54,open,Event place attack owner enjoy it firm.,medium
974,404,2025-03-07 02:55:04,closed,Heart involve scene military media technology.,low
975,342,2024-12-27 04:52:33,in_progress,Remain executive conference.,low
976,363,2024-08-09 09:37:27,open,Cost mission condition next campaign lead.,high
977,532,2025-05-15 13:35:42,closed,Water article imagine eat.,low
978,503,2024-11-24 17:51:09,closed,Imagine name opportunity policy center too cold.,low
979,410,2024-10-24 09:35:56,closed,Minute plan at cost campaign risk decision as.,low
980,379,2025-03-09 05:31:04,closed,Once front interview hot prepare.,medium
981,116,2025-03-23 18:58:10,open,Media east marriage democratic opportunity conference.,medium
982,183,2025-06-09 07:09:46,closed,Matter force laugh class customer.,high
983,158,2024-11-18 18:22:05,open,Research oil trial wife.,low
984,697,2024-08-29 13:38:53,closed,Fast unit left machine next.,low
985,258,2025-04-19 21:19:38,closed,Already poor black movie police natural remember best.,low
986,284,2025-02-03 09:15:59,closed,Receive involve manager laugh.,medium
987,151,2024-10-12 22:28:03,open,Similar positive down ago.,medium
988,683,2025-02-10 21:25:44,in_progress,Realize action out person oil as owner.,high
989,143,2024-08-25 20:55:02,open,Bit upon a major five.,medium
990,614,2024-08-09 18:00:30,open,I human between box allow already similar.,low
991,390,2025-02-28 21:52:04,open,Give visit include.,medium
992,681,2025-01-25 01:51:10,in_progress,Medical what arm level strong student throw test.,medium
993,355,2025-03-10 01:37:34,open,Notice machine walk discuss.,low
994,143,2025-07-08 17:23:11,closed,Experience rest fact community tree event.,high
995,252,2025-07-11 08:59:09,closed,Friend whose arm evidence it show seat table.,medium
996,615,2025-03-08 12:52:35,in_progress,Work but chair.,low
997,551,2025-05-01 17:01:29,in_progress,Energy training respond business cover race.,low
998,769,2025-03-27 19:19:06,open,Government might instead be style.,medium
999,260,2024-08-12 03:36:52,closed,Ahead example expect image adult.,low
1000,310,2024-12-10 13:08:47,closed,Report arm why near.,low
1001,546,2025-02-10 01:14:05,closed,Size give party leader growth.,low
1002,741,2025-06-15 11:03:13,in_progress,Hear responsibility modern woman start each.,low
1003,56,2024-09-06 23:21:14,open,Yard need light during edge area more.,high
1004,181,2024-08-01 18:25:44,closed,Above attack hotel hard.,medium
1005,593,2025-06-22 17:58:04,in_progress,Return away career computer everything whatever possible water.,medium
1006,937,2024-11-19 22:27:15,open,Western allow sit toward their.,high
1007,944,2024-11-30 17:28:01,open,Serve worry meeting.,high
1008,417,2025-02-14 11:43:49,closed,Just all city government during sure your.,high
1009,617,2025-03-07 16:09:15,in_progress,Require agreement approach such politics day hard.,medium
1010,951,2025-01-16 14:47:00,in_progress,Can speak TV.,medium
1011,157,2025-02-19 02:07:20,in_progress,Painting natural major cover.,medium
1012,910,2025-06-16 12:33:41,closed,Visit check song defense participant.,medium
1013,33,2024-09-18 21:25:35,open,Push truth image skin.,low
1014,593,2025-05-05 01:20:20,open,See election north usually.,medium
1015,591,2025-01-28 11:32:32,open,Good second medical around woman ever issue feeling.,high
1016,816,2025-05-04 05:11:42,closed,Long figure laugh.,medium
1017,90,2024-07-31 06:49:55,in_progress,Else series edge along main.,high
1018,666,2024-09-16 16:44:54,open,None both enjoy common my always although draw.,medium
1019,556,2024-10-02 19:12:41,in_progress,Hair level opportunity specific agree join.,high
1020,756,2024-12-27 16:52:07,open,Almost reduce watch.,medium
1021,411,2025-03-10 14:50:04,in_progress,Bill remember expect third.,high
1022,281,2024-08-18 00:13:36,open,In size time history section space run.,low
1023,664,2025-05-17 08:00:23,closed,Economy ready never policy actually authority expert.,medium
1024,160,2025-04-05 08:23:02,in_progress,Because matter hand rise teacher lead his trouble.,low
1025,215,2024-09-25 23:42:11,in_progress,Practice try quickly very lay.,high
1026,921,2024-11-30 10:17:30,closed,Eight dinner position.,high
1027,532,2024-08-11 08:43:03,in_progress,Partner agreement individual other clear information.,medium
1028,465,2024-11-03 03:10:30,open,Ask save sing there energy total.,high
1029,11,2024-11-10 02:13:34,open,Culture help than position.,high
1030,47,2025-02-07 19:41:32,open,None project small school network.,low
1031,825,2024-08-16 09:20:36,open,Mouth store would various.,low
1032,189,2025-01-19 16:23:13,closed,Receive discover back soon.,low
1033,6,2025-03-20 08:41:40,open,Friend claim when part with.,medium
1034,319,2025-01-31 20:55:51,open,Address mention enter themselves different each.,low
1035,910,2025-04-17 13:45:41,open,Many level better role their.,low
1036,669,2024-07-19 14:38:18,open,Benefit quality film without follow take why.,high
1037,507,2025-02-07 10:14:15,in_progress,Adult amount ago at paper choice hold.,low
1038,611,2024-10-21 10:31:11,closed,Cause mention new office big.,high
1039,554,2024-08-17 13:20:31,open,International country network someone back energy ability service.,low
1040,236,2025-01-17 11:14:10,closed,Top point official even.,high
1041,279,2024-12-24 13:19:04,open,Still page explain high.,medium
1042,896,2025-01-16 08:14:13,closed,Foreign sell compare.,low
1043,4,2025-02-19 22:48:10,in_progress,Learn nothing appear range.,high
1044,265,2024-09-06 22:44:45,closed,Other their figure area.,high
1045,291,2024-08-10 04:57:17,in_progress,Front anyone rule sing close score western determine.,medium
1046,392,2024-11-28 12:31:30,open,Organization stay almost benefit tonight its really.,low
1047,94,2025-06-30 00:00:51,open,Scene sit option life candidate nation.,medium
1048,330,2024-12-30 23:18:46,closed,Gun trip student apply.,high
1049,969,2025-01-23 17:15:22,in_progress,Hit maintain Democrat probably remain reveal.,high
1050,622,2025-02-27 03:29:18,in_progress,Face book budget American think same.,low
1051,125,2025-02-28 12:26:26,open,Kitchen third boy.,low
1052,475,2025-06-11 22:43:19,open,Perform edge total allow.,low
1053,87,2025-05-06 14:54:05,closed,Forget social defense would.,medium
1054,701,2024-12-06 19:31:09,open,Realize commercial organization note story choose per.,medium
1055,303,2025-03-11 20:52:24,open,Increase seek stuff sister management field assume.,high
1056,337,2025-05-15 04:19:33,in_progress,Heart employee officer lose anyone.,high
1057,358,2025-05-31 06:54:22,in_progress,Production tax just development structure.,low
1058,95,2024-09-29 08:11:00,open,Hotel century allow entire.,high
1059,645,2024-10-15 22:48:10,closed,Democrat result game cell.,high
1060,868,2025-02-05 00:38:21,closed,Get world west your course language grow.,high
1061,369,2025-05-31 15:43:00,open,Building not including find defense even task quality.,high
1062,16,2024-08-07 00:32:30,in_progress,Summer rule yourself person stuff your wish.,low
1063,87,2025-03-22 02:49:28,closed,Pm perform assume operation event.,high
1064,624,2024-09-22 19:36:29,in_progress,Bank recent meeting wall carry.,medium
1065,305,2025-04-11 07:10:47,in_progress,Above involve spring production even I protect.,low
1066,693,2024-10-14 08:04:21,in_progress,Blue science new this contain herself open job.,high
1067,515,2025-06-25 10:46:34,open,Oil dinner performance pressure important force.,high
1068,630,2025-01-27 08:30:03,in_progress,Full parent capital police article thank share.,medium
1069,296,2025-07-11 10:31:45,closed,Or product toward play deal.,medium
1070,708,2025-03-12 03:06:02,open,Hard property increase beautiful catch necessary investment.,medium
1071,904,2025-06-11 00:37:26,open,Type quality put loss remember.,high
1072,100,2025-02-08 11:32:40,open,Why religious water create.,medium
1073,551,2025-06-04 09:15:51,closed,No since ability evidence my piece organization.,medium
